key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGBA331_04833_SEQ_00,赤誠組屯所附近的奎基，看起來有些不安。[AI]
1,TEXT_KINGBA331_04833_SEQ_01,與奎基交談後，一名中年的志士出現了。他找到了薩米達雷的藏身之處，冒險者將前往討伐。在紅玉海的「<hex:02280CFF05>EObj<hex:F61EB9FB0103>」上觀察，如果有敵人出現就進行討伐。[AI]
2,TEXT_KINGBA331_04833_SEQ_02,在「<hex:02280CFF05>EObj<hex:F61EB9FB0103>」上觀察，並沒有特別可疑的影子。繼續前進，到獄之蓋的「<hex:02280CFF05>EObj<hex:F61EB9FC0103>」觀察，如果有敵人出現就進行討伐。[AI]
3,TEXT_KINGBA331_04833_SEQ_03,在「<hex:02280CFF05>EObj<hex:F61EB9FC0103>」觀察時，紅甲羅出現並發動襲擊，已經擊退了它。繼續前進，到獄之蓋的「<hex:02280CFF05>EObj<hex:F61EB9FD0103>」觀察，如果有敵人出現就進行討伐。[AI]
4,TEXT_KINGBA331_04833_SEQ_04,在「<hex:02280CFF05>EObj<hex:F61EB9FD0103>」觀察時，似乎沒有薩米達雷。奎基到達現場後，原來那隻奎基是偽裝成薩米達雷的，企圖對冒險者埋伏。就在那千鈞一髮之際，真正的奎基現身，冒險者的危機得以避免。薩米達雷離開後，奎基解釋當伊特卡被殺時也是相同的情境，感到欣慰地救下了冒險者。返回赤誠組屯所附近，與「奎基」交談吧。[AI]
5,TEXT_KINGBA331_04833_SEQ_05,我和奎基談話了。她說，<hex:02100103>我們都要小心，不要再被彼此的偽裝欺騙了。<hex:02100103>我會找機會再去拜訪她。<hex:02100103>※當你的近戰物理DPS職業等級達到98級或以上時，<hex:02100103>就可以在赤誠組屯所附近的奎基處接取下一個近戰物理DPS職能任務。<hex:02100103>[AI]
6,TEXT_KINGBA331_04833_SEQ_06,
7,TEXT_KINGBA331_04833_SEQ_07,
8,TEXT_KINGBA331_04833_SEQ_08,
9,TEXT_KINGBA331_04833_SEQ_09,
10,TEXT_KINGBA331_04833_SEQ_10,
11,TEXT_KINGBA331_04833_SEQ_11,
12,TEXT_KINGBA331_04833_SEQ_12,
13,TEXT_KINGBA331_04833_SEQ_13,
14,TEXT_KINGBA331_04833_SEQ_14,
15,TEXT_KINGBA331_04833_SEQ_15,
16,TEXT_KINGBA331_04833_SEQ_16,
17,TEXT_KINGBA331_04833_SEQ_17,
18,TEXT_KINGBA331_04833_SEQ_18,
19,TEXT_KINGBA331_04833_SEQ_19,
20,TEXT_KINGBA331_04833_SEQ_20,
21,TEXT_KINGBA331_04833_SEQ_21,
22,TEXT_KINGBA331_04833_SEQ_22,
23,TEXT_KINGBA331_04833_SEQ_23,
24,TEXT_KINGBA331_04833_TODO_00,在獄之蓋的「<hex:02280CFF05>EObj<hex:F61EB9FB0103>」上觀察，如果有敵人出現就進行討伐。[AI]
25,TEXT_KINGBA331_04833_TODO_01,在「<hex:02280CFF05>EObj<hex:F61EB9FC0103>」上再次觀察，如果有敵人出現就進行討伐。[AI]
26,TEXT_KINGBA331_04833_TODO_02,在「<hex:02280CFF05>EObj<hex:F61EB9FD0103>」上進行更進一步的觀察，如果有敵人出現就進行討伐。[AI]
27,TEXT_KINGBA331_04833_TODO_03,在黃金港和奎基談話。[AI]
28,TEXT_KINGBA331_04833_TODO_04,
29,TEXT_KINGBA331_04833_TODO_05,
30,TEXT_KINGBA331_04833_TODO_06,
31,TEXT_KINGBA331_04833_TODO_07,
32,TEXT_KINGBA331_04833_TODO_08,
33,TEXT_KINGBA331_04833_TODO_09,
34,TEXT_KINGBA331_04833_TODO_10,
35,TEXT_KINGBA331_04833_TODO_11,
36,TEXT_KINGBA331_04833_TODO_12,
37,TEXT_KINGBA331_04833_TODO_13,
38,TEXT_KINGBA331_04833_TODO_14,
39,TEXT_KINGBA331_04833_TODO_15,
40,TEXT_KINGBA331_04833_TODO_16,
41,TEXT_KINGBA331_04833_TODO_17,
42,TEXT_KINGBA331_04833_TODO_18,
43,TEXT_KINGBA331_04833_TODO_19,
44,TEXT_KINGBA331_04833_TODO_20,
45,TEXT_KINGBA331_04833_TODO_21,
46,TEXT_KINGBA331_04833_TODO_22,
47,TEXT_KINGBA331_04833_TODO_23,
48,TEXT_KINGBA331_04833_KUIYKI_000_000,你來了， <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> ！太好了……。[AI]
49,TEXT_KINGBA331_04833_KUIYKI_000_001,我之前還擔心，你知道了我欺騙你的事，以後就不會再幫助我了。[AI]
50,TEXT_KINGBA331_04833_KUIYKI_000_002,我一個人，就算再努力，<hex:02100103>也無法在這個異國他鄉奪回祭器。我只能依靠你了。[AI]
51,TEXT_KINGBA331_04833_KUIYKI_000_003,說起來真是丟臉，我獨自來到黃金港的時候，<hex:02100103>差點被一個像鯰魚一樣的人給騙了。[AI]
52,TEXT_KINGBA331_04833_KUIYKI_000_004,為了支付住宿費，我到處尋找人來收購我的項鍊，結果他出現了，<hex:02100103>說要以合理的價格買下來。他拿出了閃閃發光的硬幣。[AI]
53,TEXT_KINGBA331_04833_KUIYKI_000_005,就在我準備答應的時候，伊特卡出現了。她很聰明，<hex:02100103>一眼就認出那個鯰魚拿的是假幣，及時阻止了我。[AI]
54,TEXT_KINGBA331_04833_KUIYKI_000_006,
55,TEXT_KINGBA331_04833_KUIYKI_000_007,
56,TEXT_KINGBA331_04833_KUIYKI_000_008,她還把自己的項鍊賣給了雜貨店，用那些錢幫我安排了住處。<hex:02100103>後來，她總是主動地幫助我。[AI]
57,TEXT_KINGBA331_04833_KUIYKI_000_009,
58,TEXT_KINGBA331_04833_KUIYKI_000_010,也就是說，我就是一個一無是處的廢物。<hex:02100103>我總是心急，卻事事都做不好……真是太感謝你來幫我。[AI]
59,TEXT_KINGBA331_04833_SAMIDARE_000_011,哦，好久不見。我有急事要告訴你們，所以趕了過來。[AI]
60,TEXT_KINGBA331_04833_KUIYKI_000_012,你是之前在烈士庵的那個人吧？你怎麼會跑到這裡來，<hex:02100103>發生了什麼事嗎？[AI]
61,TEXT_KINGBA331_04833_SAMIDARE_000_013,我和他……薩米達雷取得了聯繫。我利用我們之間的關係，<hex:02100103>說服他加入我們，並成功地探聽到了他的藏身之處。[AI]
62,TEXT_KINGBA331_04833_KUIYKI_000_014,真的嗎？他在哪裡……？[AI]
63,TEXT_KINGBA331_04833_SAMIDARE_000_015,薩米達雷似乎躲在了紅玉海的「獄之蓋」。不過，<hex:02100103>他能模仿強大的魔物，我們可能無法獨自戰勝他。[AI]
64,TEXT_KINGBA331_04833_SAMIDARE_000_016,所以，我們特地來請求 <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> 大人的幫助。<hex:02100103>請務必協助我們討伐薩米達雷……！[AI]
